Date,Region,Game Mode Id,Game Mode,Match Mode Id,Match Mode,Is Ugc,Player Users,Lv5 Player Cnt,Lv8 Player Cnt,Lv12 Player Cnt,R2,R7,Game C2,Game C7,Mode C2,Mode C7,Quantile30 Match Cnt,Quantile50 Match Cnt,Quantile70 Match Cnt,Participate Rate,Real Participate Rate,Avg Survival Time,Avg Match Cnt,Avg Match Survival Time,,Date: 2022-01-01 -- 2025-09-30
2022-01-01,ME,1,Battle Royale (BR),2,Ranking Match,False,1927698,1927698,1927698,1892987,61.99%,50.06%,14.77%,24.20%,23.24%,25.74%,2.00,4.00,7.00,34.49%,44.84%,3109.19,6.59,472.14,,"Game Mode Id: 1,15"
2022-01-01,ME,15,Clash Squad (CS),6,CS Ranking,False,1916402,1916402,1916402,1876874,53.70%,47.57%,17.20%,27.05%,29.09%,25.38%,2.00,3.00,5.00,34.28%,44.57%,2530.43,4.75,532.30,,"Match Mode: 6,2"
2022-01-02,ME,1,Battle Royale (BR),2,Ranking Match,False,1744744,1744744,1744744,1713281,60.69%,52.37%,15.84%,21.98%,23.48%,25.66%,2.00,4.00,7.00,39.40%,45.26%,2924.96,6.14,476.62
2022-01-02,ME,15,Clash Squad (CS),6,CS Ranking,False,1581608,1581608,1581608,1548680,54.65%,50.78%,17.90%,25.27%,27.45%,23.95%,1.00,2.00,4.00,35.72%,41.03%,2157.15,3.94,546.91
2022-01-03,ME,1,Battle Royale (BR),2,Ranking Match,False,1560941,1560941,1560941,1533628,64.33%,54.10%,13.04%,21.01%,22.64%,24.89%,2.00,4.00,6.00,38.61%,43.70%,2816.39,5.85,481.74
2022-01-03,ME,15,Clash Squad (CS),6,CS Ranking,False,1416007,1416007,1416007,1386477,58.20%,51.72%,15.57%,24.71%,26.23%,23.57%,1.00,2.00,4.00,35.03%,39.64%,2183.21,3.95,552.43
2022-01-04,ME,1,Battle Royale (BR),2,Ranking Match,False,1518377,1518377,1518377,1492545,65.69%,54.10%,12.50%,21.75%,21.80%,24.15%,2.00,4.00,6.00,38.66%,43.51%,2819.33,5.83,483.84
2022-01-04,ME,15,Clash Squad (CS),6,CS Ranking,False,1381079,1381079,1381079,1352963,59.50%,52.33%,14.91%,25.15%,25.60%,22.52%,1.00,2.00,4.00,35.17%,39.58%,2216.40,4.00,554.70
2022-01-05,ME,1,Battle Royale (BR),2,Ranking Match,False,1542692,1542692,1542692,1516408,64.97%,54.42%,12.46%,21.89%,22.57%,23.69%,2.00,4.00,7.00,39.13%,43.70%,2811.22,5.83,481.86
2022-01-05,ME,15,Clash Squad (CS),6,CS Ranking,False,1401901,1401901,1401901,1373543,59.58%,52.20%,14.94%,25.29%,25.47%,22.51%,1.00,3.00,4.00,35.56%,39.71%,2237.63,4.04,554.26
2022-01-06,ME,1,Battle Royale (BR),2,Ranking Match,False,1559102,1559102,1559102,1532169,65.08%,53.07%,11.42%,22.88%,23.50%,24.05%,2.00,4.00,6.00,38.67%,42.92%,2780.33,5.79,480.24
2022-01-06,ME,15,Clash Squad (CS),6,CS Ranking,False,1446194,1446194,1446194,1416910,63.63%,50.87%,13.87%,26.18%,22.49%,22.95%,1.00,2.00,4.00,35.87%,39.81%,2227.63,4.03,552.22
2022-01-07,ME,1,Battle Royale (BR),2,Ranking Match,False,1618333,1618333,1618333,1589046,63.55%,52.22%,12.86%,23.62%,23.59%,24.15%,2.00,4.00,7.00,37.98%,41.81%,2727.95,5.86,465.23
2022-01-07,ME,15,Clash Squad (CS),6,CS Ranking,False,1681094,1681094,1681094,1647373,61.51%,48.83%,15.35%,26.53%,23.14%,24.64%,2.00,3.00,5.00,39.45%,43.43%,2382.42,4.37,545.41
2022-01-08,ME,1,Battle Royale (BR),2,Ranking Match,False,1593003,1593003,1593003,1564972,63.62%,54.16%,13.23%,21.76%,23.16%,24.08%,2.00,4.00,6.00,38.33%,42.13%,2629.99,5.70,461.64
2022-01-08,ME,15,Clash Squad (CS),6,CS Ranking,False,1675166,1675166,1675166,1642093,60.84%,51.36%,15.45%,24.26%,23.71%,24.38%,2.00,3.00,5.00,40.31%,44.30%,2351.37,4.30,546.78
2022-01-09,ME,1,Battle Royale (BR),2,Ranking Match,False,1554412,1554412,1554412,1527508,62.89%,52.57%,14.29%,22.22%,22.82%,25.21%,2.00,4.00,7.00,38.59%,42.32%,2700.46,5.81,464.74
2022-01-09,ME,15,Clash Squad (CS),6,CS Ranking,False,1615024,1615024,1615024,1583430,61.25%,49.62%,16.36%,25.36%,22.40%,25.02%,2.00,3.00,5.00,40.09%,43.97%,2359.99,4.30,549.27
2022-01-10,ME,1,Battle Royale (BR),2,Ranking Match,False,1505557,1505557,1505557,1479768,65.73%,51.25%,12.36%,23.28%,21.91%,25.47%,2.00,3.00,6.00,38.76%,42.48%,2608.43,5.63,463.65
2022-01-10,ME,15,Clash Squad (CS),6,CS Ranking,False,1603446,1603446,1603446,1572391,62.71%,46.89%,14.88%,26.69%,22.41%,26.41%,2.00,3.00,5.00,41.28%,45.25%,2346.14,4.27,549.82
2022-01-11,ME,1,Battle Royale (BR),2,Ranking Match,False,1555838,1555838,1555838,1529223,63.14%,50.08%,13.79%,24.58%,23.07%,25.34%,2.00,4.00,6.00,39.59%,43.32%,2628.77,5.74,457.94
2022-01-11,ME,15,Clash Squad (CS),6,CS Ranking,False,1628462,1628462,1628462,1596695,61.03%,46.01%,16.06%,27.91%,22.91%,26.08%,2.00,3.00,5.00,41.43%,45.34%,2392.14,4.35,549.59
2022-01-12,ME,1,Battle Royale (BR),2,Ranking Match,False,1513501,1513501,1513501,1487244,63.98%,50.24%,13.13%,24.72%,22.89%,25.04%,2.00,3.00,6.00,38.56%,42.20%,2574.15,5.63,456.99
2022-01-12,ME,15,Clash Squad (CS),6,CS Ranking,False,1601281,1601281,1601281,1569077,61.07%,45.82%,15.68%,28.36%,23.24%,25.82%,2.00,3.00,5.00,40.79%,44.64%,2356.43,4.29,549.36
2022-01-13,ME,1,Battle Royale (BR),2,Ranking Match,False,1531619,1531619,1531619,1503980,65.22%,45.09%,11.79%,35.18%,22.99%,19.73%,2.00,3.00,6.00,37.95%,41.70%,2568.07,5.61,457.67
2022-01-13,ME,15,Clash Squad (CS),6,CS Ranking,False,1609546,1609546,1609546,1575944,63.05%,10.00%,14.41%,40.52%,22.54%,49.48%,2.00,3.00,5.00,39.88%,43.82%,2343.15,4.26,550.27
2022-01-14,ME,1,Battle Royale (BR),2,Ranking Match,False,1611597,1611597,1611597,1581409,61.28%,49.27%,13.89%,29.03%,24.83%,21.71%,2.00,3.00,6.00,37.86%,41.91%,2578.62,5.67,455.17
2022-01-14,ME,15,Clash Squad (CS),6,CS Ranking,False,1714650,1714650,1714650,1678216,59.18%,44.93%,16.58%,33.11%,24.24%,21.96%,2.00,3.00,5.00,40.28%,44.59%,2422.09,4.42,547.43
2022-01-15,ME,1,Battle Royale (BR),2,Ranking Match,False,1523378,1523378,1523378,1495143,61.04%,51.14%,14.59%,26.47%,24.38%,22.39%,2.00,3.00,6.00,37.18%,41.18%,2456.36,5.40,454.47
2022-01-15,ME,15,Clash Squad (CS),6,CS Ranking,False,1622398,1622398,1622398,1588426,57.53%,51.60%,17.10%,30.31%,25.37%,18.09%,2.00,3.00,5.00,39.60%,43.85%,2311.20,4.21,549.25
2022-01-16,ME,1,Battle Royale (BR),2,Ranking Match,False,1450991,1450991,1450991,1424345,61.27%,52.01%,15.29%,24.86%,23.44%,23.13%,2.00,3.00,6.00,36.83%,40.54%,2554.46,5.60,456.00
2022-01-16,ME,15,Clash Squad (CS),6,CS Ranking,False,1508756,1508756,1508756,1476411,58.38%,51.12%,17.67%,29.13%,23.94%,19.75%,2.00,3.00,5.00,38.29%,42.15%,2357.87,4.28,550.74
2022-01-17,ME,1,Battle Royale (BR),2,Ranking Match,False,1400964,1400964,1400964,1375820,63.13%,53.29%,13.65%,24.65%,23.22%,22.06%,2.00,3.00,6.00,36.75%,40.59%,2557.12,5.57,459.15
2022-01-17,ME,15,Clash Squad (CS),6,CS Ranking,False,1459676,1459676,1459676,1428888,59.77%,51.51%,16.44%,28.99%,23.79%,19.50%,2.00,3.00,5.00,38.29%,42.30%,2375.65,4.29,553.31
2022-01-18,ME,1,Battle Royale (BR),2,Ranking Match,False,1389133,1389133,1389133,1364502,55.25%,52.04%,25.35%,25.49%,19.40%,22.46%,2.00,3.00,6.00,36.72%,40.61%,2528.49,5.53,457.38
2022-01-18,ME,15,Clash Squad (CS),6,CS Ranking,False,1443194,1443194,1443194,1413049,13.69%,50.18%,30.62%,29.73%,55.69%,20.09%,2.00,3.00,5.00,38.15%,42.19%,2374.91,4.30,552.70
2022-01-19,ME,1,Battle Royale (BR),2,Ranking Match,False,1270474,1270474,1270474,1250564,66.12%,51.62%,10.04%,22.19%,23.84%,26.19%,2.00,3.00,6.00,43.73%,50.23%,2331.18,5.06,460.94
2022-01-19,ME,15,Clash Squad (CS),6,CS Ranking,False,272339,272339,272339,268789,56.57%,58.30%,18.28%,23.29%,25.15%,18.41%,1.00,2.00,3.00,9.37%,10.77%,1818.41,3.16,575.40
2022-01-20,ME,1,Battle Royale (BR),2,Ranking Match,False,1494802,1494802,1494802,1465745,63.63%,51.57%,11.73%,23.46%,24.63%,24.96%,2.00,3.00,6.00,41.10%,45.98%,2550.23,5.59,456.30
2022-01-20,ME,15,Clash Squad (CS),6,CS Ranking,False,1459137,1459137,1459137,1433609,68.44%,52.59%,11.37%,23.57%,20.19%,23.83%,2.00,3.00,5.00,40.12%,44.88%,2401.30,4.47,537.34
