Date,Region,A1,A7,A30,AR2,AR7,AR30,New User,NU R2,NU R7,NU R30,NU R2_Abs,NU R7_Abs,NU R30_Abs,Revival7,Revival7 R2,Revival7 R7,Revival7 R30,Revival30,Revival30 R2,Revival30 R7,Revival30 R30,C7,C7 Rate,C30,C30 Rate,Retained 7,New User A7,Revival 7 A7,Retained 30,New User A30,Revival 30 A30,EO Month
1/1/2022,Middle East,2791927,4688955,8148794,58.90%,48.90%,34.60%,124687,35.80%,15.20%,5.50%,44687,18938,6816,621937,13.00%,8.40%,5.40%,421946,8.30%,4.60%,2.80%,1326159,32.20%,4170652,48.60%,2787512,638534,1262909,4404109,2526293,1218392,0
1/1/2022,North Africa,2660703,4281646,6705037,60.20%,51.70%,39.90%,77618,26.80%,11.60%,4.90%,20790,8991,3810,486187,12.80%,8.30%,5.90%,332921,8.30%,4.50%,3.10%,934862,25.40%,3171118,43.80%,2742893,407439,1131314,4067859,1469269,1167909,0
1/1/2022,SSA,6552,11374,19552,66.20%,55.10%,34.20%,442,52.90%,25.30%,10.40%,234,112,46,930,27.70%,20.00%,8.70%,524,25.20%,16.80%,5.90%,3002,31.10%,10009,52.30%,6650,1958,2766,9126,7097,3329,0
1/1/2022,Outside MEA,130663,251570,463800,55.90%,49.00%,37.20%,1787,34.80%,14.90%,6.60%,621,266,118,27840,12.30%,8.10%,5.40%,16916,8.70%,4.70%,2.90%,82597,34.90%,251650,47.00%,154222,11619,85729,283507,52384,127909,0
1/2/2022,Middle East,2256668,4803099,8225472,69.00%,56.50%,40.70%,99729,41.30%,16.20%,5.80%,41227,16137,5792,220530,24.70%,13.40%,8.70%,120839,20.70%,9.20%,5.20%,1329617,32.20%,4143698,48.00%,2800492,658625,1343982,4485468,2518348,1221656,0
1/2/2022,North Africa,2056217,4309720,6767878,65.90%,61.70%,45.80%,47494,30.60%,14.20%,5.10%,14531,6735,2431,169565,20.20%,14.00%,8.90%,99518,15.20%,9.00%,5.00%,958875,25.80%,3131269,43.10%,2755033,396698,1157989,4135140,1461599,1171139,0
1/2/2022,SSA,6089,11549,20029,64.00%,56.10%,31.30%,400,42.20%,21.80%,5.00%,169,87,20,589,31.40%,19.20%,8.30%,314,38.20%,17.50%,8.30%,3177,32.40%,9888,51.40%,6617,2055,2877,9337,7241,3451,0
1/2/2022,Outside MEA,109341,255212,468855,62.20%,55.00%,40.90%,1990,29.20%,13.10%,5.80%,582,260,116,14858,16.70%,10.40%,7.00%,7211,15.00%,7.20%,4.40%,83951,35.40%,247887,46.40%,153236,11768,90208,286175,52736,129944,0
1/3/2022,Middle East,2157126,4885956,8285701,69.70%,57.40%,42.20%,92138,42.00%,16.60%,6.20%,38655,15338,5722,176287,27.90%,15.30%,10.10%,88338,25.70%,11.60%,6.60%,1315958,31.90%,4098649,47.50%,2813617,674225,1398114,4522572,2525891,1237238,0
1/3/2022,North Africa,1777709,4280492,6774066,72.40%,64.70%,49.90%,35690,36.80%,15.20%,5.90%,13139,5427,2111,109476,27.50%,17.20%,11.40%,56792,22.00%,11.80%,6.80%,1000468,26.60%,3118999,42.80%,2767659,377217,1135616,4163619,1446320,1164127,0
